#GeV	flux(1/(m2ssrGeV)	err+	err-
1.93553e+06	5.61182e-13	1.772e-15	1.772e-15
2.43669e+06	2.9736e-13	1.19526e-15	1.19526e-15
3.06761e+06	1.58936e-13	7.88271e-16	7.88271e-16
3.86189e+06	8.29635e-14	5.22403e-16	5.22403e-16
4.86184e+06	4.22177e-14	3.4884e-16	3.4884e-16
6.12068e+06	2.09843e-14	2.28877e-16	2.28877e-16
7.70549e+06	1.02059e-14	1.44821e-16	1.44821e-16
9.70063e+06	4.9211e-15	9.21805e-17	9.21805e-17
1.22124e+07	2.37898e-15	5.84155e-17	5.84155e-17
1.53745e+07	1.17701e-15	3.88209e-17	3.88209e-17
1.93553e+07	5.57731e-16	2.30222e-17	2.30222e-17
2.43669e+07	2.65573e-16	1.47152e-17	1.47152e-17
3.06761e+07	1.50915e-16	1.00926e-17	1.00926e-17
3.86189e+07	7.54295e-17	6.39321e-18	6.39321e-18
4.86184e+07	3.7155e-17	3.93911e-18	3.93911e-18
6.12068e+07	1.96883e-17	2.47984e-18	2.47984e-18
7.70549e+07	1.04775e-17	1.65484e-18	1.65484e-18
9.70063e+07	4.65433e-18	9.74701e-19	9.74701e-19
