1.08	892	22	22
1.26	772	22	22
1.47	674	19	19
1.71	546	16	16
2.00	452	13	13
2.33	363	10	10
2.71	283	8	8
3.16	222	7	7
3.68	171	6	6
4.30	127	3.6	3.6
5.01	96.5	3.2	3.2
5.84	68.9	2.4	2.4
6.81	49.1	2.0	2.0
7.94	34.3	1.4	1.4
9.25	24.2	1.0	1.0
10.8	17.0	.71	.71
12.6	11.8	.51	.51
14.6	8.05	.33	.33
17.1	5.57	.23	.23
19.9	3.78	.16	.16
23.2	2.51	.10	.10
27.1	1.67	.07	.07
31.5	1.10	.05	.05
36.8	.735	.032	.032
42.9	.487	.021	.021
50.0	.322	.015	.015
58.3	.210	.010	.010
67.9	.136	.007	.007
79.3	.0917	.0044	.0044
92.6	.0608	.0030	.0030
108.	.0400	.0021	.0021
