#GeV	flux(1/(m2ssrGeV)	err+	err-
1.53745e+06	9.25859e-13	3.10054e-15	3.10054e-15
1.93553e+06	4.83826e-13	1.99152e-15	1.99152e-15
2.43669e+06	2.64982e-13	1.38213e-15	1.38213e-15
3.06761e+06	1.42633e-13	9.30121e-16	9.30121e-16
3.86189e+06	7.38284e-14	6.05131e-16	6.05131e-16
4.86184e+06	3.76398e-14	3.9922e-16	3.9922e-16
6.12068e+06	1.868e-14	2.67457e-16	2.67457e-16
7.70549e+06	9.09691e-15	1.66381e-16	1.66381e-16
9.70063e+06	4.40818e-15	1.04294e-16	1.04294e-16
1.22124e+07	2.13035e-15	6.55449e-17	6.55449e-17
1.53745e+07	1.07689e-15	4.09628e-17	4.09628e-17
1.93553e+07	5.01463e-16	2.58703e-17	2.58703e-17
2.43669e+07	2.45023e-16	1.61402e-17	1.61402e-17
3.06761e+07	1.44097e-16	1.08539e-17	1.08539e-17
3.86189e+07	7.04665e-17	6.90976e-18	6.90976e-18
4.86184e+07	3.55224e-17	4.35232e-18	4.35232e-18
6.12068e+07	1.90638e-17	2.81824e-18	2.81824e-18
7.70549e+07	1.04053e-17	1.80846e-18	1.80846e-18
9.70063e+07	4.64189e-18	1.09893e-18	1.09893e-18
